Player,School,Year,Pick,TRB,AST,STL,BLK,PTS,SOS,TS%,3PAr,FTr,All-Star
Derrick Coleman,Syracuse,1990,1,10.7,2.3,1.3,2.2,15,8.71,0.608,0.041,0.633,1
Gary Payton,Oregon State,1990,2,4,7.8,2.7,0.5,18.1,6.72,0.559,0.282,0.287,1
Mahmoud Abdul-Rauf,LSU,1990,3,3,3.6,1.7,0.1,29,7.02,0.581,0.33,0.293,0
Dennis Scott,Georgia Tech,1990,4,5.3,2.9,1.5,0.5,21.4,8.65,0.583,0.505,0.216,0
Kendall Gill,Illinois,1990,5,2.8,3,1.9,0.3,12,10.2,0.578,0.21,0.36,0
Felton Spencer,Louisville,1990,6,5.2,0.7,0.4,1,8.7,8.33,0.651,0,0.796,0
Lionel Simmons,La Salle,1990,7,10.9,2.7,1.8,1.9,24.6,-0.92,0.55,0.054,0.376,0
Bo Kimble,Loyola Marymount,1990,8,4.9,1.7,1.8,0.4,22.6,2.6,0.577,0.272,0.275,0
Willie Burton,Minnesota,1990,9,6,1.7,0.9,0.7,15.3,8.85,0.586,0.172,0.45,0
Rumeal Robinson,Michigan,1990,10,3.2,5.8,1.5,0.3,14.5,10.46,0.597,0.212,0.51,0
Larry Johnson,UNLV,1991,1,11.2,2.5,1.9,1.2,21.6,6.88,0.691,0.09,0.483,1
Kenny Anderson,Georgia Tech,1991,2,5.6,7,2.6,0.1,23,10.57,0.557,0.255,0.281,1
Billy Owens,Syracuse,1991,3,8.8,3.7,2.1,0.9,17.9,8.79,0.553,0.11,0.396,0
Dikembe Mutombo,Georgetown,1991,4,8.6,0.8,0.4,3.7,9.9,11.27,0.651,0,0.693,1
Steve Smith,Michigan State,1991,5,6.1,3.7,0.9,0.3,18.5,9.63,0.57,0.208,0.362,1
Doug Smith,Missouri,1991,6,8.2,2.5,1.4,1,17.1,9.82,0.545,0.013,0.294,0
Luc Longley,New Mexico,1991,7,6.9,2.4,0.7,2.5,13.4,4.52,0.618,0.002,0.432,0
Mark Macon,Temple,1991,8,5.6,2.8,2.2,0.1,20.7,3.84,0.509,0.283,0.223,0
Stacey Augmon,UNLV,1991,9,6.9,3,1.9,0.9,13.9,6.52,0.611,0.169,0.433,0
Terrell Brandon,Oregon,1991,10,3.6,5.5,2,0.1,22.2,9.29,0.57,0.223,0.33,1
Shaquille O'Neal,LSU,1992,1,13.5,1.7,1.2,4.6,21.6,8.4,0.609,0,0.498,1
Alonzo Mourning,Georgetown,1992,2,8.6,1.2,0.5,3.8,16.7,9.99,0.638,0.021,0.945,1
Christian Laettner,Duke,1992,3,7.8,1.8,1.6,1,16.6,9.45,0.657,0.112,0.61,1
Jim Jackson,Ohio State,1992,4,5.9,4,1.6,0.5,19.2,9.19,0.57,0.16,0.309,0
LaPhonso Ellis,Notre Dame,1992,5,11.1,1.5,0.9,2.1,15.5,8.55,0.607,0.032,0.46,0
Tom Gugliotta,NC State,1992,6,7.3,2.1,1.5,0.6,13.7,9.16,0.571,0.378,0.287,1
Walt Williams,Maryland,1992,7,4.6,3.9,1.7,0.8,16.2,7.86,0.572,0.343,0.403,0
Todd Day,Arkansas,1992,8,5.3,2.5,2.1,0.8,18.9,5.89,0.581,0.337,0.383,0
Clarence Weatherspoon,Southern Miss,1992,9,11.3,1.5,1.3,1.9,18.2,4.43,0.613,0.052,0.535,0
Adam Keefe,Stanford,1992,10,9,1.7,1.1,0.4,18.6,8.24,0.642,0.011,0.64,0
Chris Webber,Michigan,1993,1,10,2.4,1.5,2.5,17.4,12.07,0.605,0.155,0.342,1
Shawn Bradley,BYU,1993,2,7.7,1.2,0.7,5.2,14.8,5.36,0.56,0.003,0.512,0
Anfernee Hardaway,Memphis,1993,3,7.7,5.9,2.5,1.3,20,9.15,0.56,0.408,0.362,1
Jamal Mashburn,Kentucky,1993,4,7.8,2.2,1.6,0.5,18.8,9.62,0.598,0.301,0.379,1
Isaiah Rider,UNLV,1993,5,7.1,2.9,1.5,0.6,24.9,3.39,0.612,0.35,0.334,0
Calbert Cheaney,Indiana,1993,6,5.4,1.7,0.9,0.3,19.8,10.64,0.629,0.186,0.298,0
Bobby Hurley,Duke,1993,7,2.2,7.7,1.4,0,12.4,10.09,0.569,0.521,0.454,0
Vin Baker,Hartford,1993,8,8.5,1,1,2.5,20,-6.08,0.522,0.134,0.386,1
Rodney Rogers,Wake Forest,1993,9,7.9,2.2,1.6,0.8,19.3,8.26,0.621,0.129,0.368,0
Lindsey Hunter,Jackson State,1993,10,3.2,3.7,2.2,0.3,20.1,-4.85,0.507,0.397,0.24,0
Glenn Robinson,Purdue,1994,1,9.7,1.9,1.8,1,27.5,9.77,0.566,0.225,0.371,1
Jason Kidd,California,1994,2,5.9,8.4,3.5,0.3,14.9,7.2,0.561,0.352,0.474,1
Grant Hill,Duke,1994,3,6,3.6,1.7,1,14.9,10.12,0.578,0.084,0.399,1
Donyell Marshall,UConn,1994,4,7.6,1.4,1.2,2.7,18.1,7.15,0.565,0.202,0.398,0
Juwan Howard,Michigan,1994,5,7.5,2,0.8,0.6,15.3,12.06,0.541,0.009,0.35,1
Sharone Wright,Clemson,1994,6,9.8,0.8,0.8,3.1,14.2,7.22,0.558,0.006,0.513,0
Lamond Murray,California,1994,7,6.8,1.8,1.3,0.9,19.2,7.14,0.557,0.223,0.321,0
Brian Grant,Xavier,1994,8,9.2,1.2,0.8,1.1,14.7,1.1,0.619,0.003,0.544,0
Eric Montross,UNC,1994,9,6.8,0.6,0.5,1.2,11.7,10.41,0.6,0,0.562,0
Eddie Jones,Temple,1994,10,6.1,1.6,2.1,1.2,16,8.98,0.53,0.327,0.263,1
Joe Smith,Maryland,1995,1,10.7,1,1.5,3,20.2,8.85,0.608,0.032,0.624,0
Antonio McDyess,Alabama,1995,2,9.3,0.5,1,1.8,12.8,6.32,0.549,0.002,0.323,1
