Player,School,Year,Pick,Pos,G,MP,FGA,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,NBA-PPG
Derrick Coleman,Syracuse,1990,1,PF,143,32.8,9.5,0.568,0.58,0.291,0.684,15,8.71,0.608,0.574,0.041,0.633,,18.4
Gary Payton,Oregon State,1990,2,PG,120,37.7,14.3,0.485,0.53,0.369,0.684,18.1,6.72,0.559,0.537,0.282,0.287,,7.2
Mahmoud Abdul-Rauf,LSU,1990,3,PG,64,37.2,21.9,0.474,0.524,0.372,0.863,29,7.02,0.581,0.535,0.33,0.293,,14.1
Dennis Scott,Georgia Tech,1990,4,SG,99,37.2,16.6,0.452,0.483,0.422,0.777,21.4,8.65,0.583,0.559,0.505,0.216,,15.7
Kendall Gill,Illinois,1990,5,SG,117,25.4,8.9,0.501,0.535,0.374,0.755,12,10.2,0.578,0.541,0.21,0.36,,11
Felton Spencer,Louisville,1990,6,C,134,18.4,4.9,0.628,0.628,0,0.676,8.7,8.33,0.651,0.628,0,0.796,,7.1
Lionel Simmons,La Salle,1990,7,SF,131,38.5,18.9,0.501,0.506,0.415,0.722,24.6,-0.92,0.55,0.512,0.054,0.376,,18
Bo Kimble,Loyola Marymount,1990,8,SG,104,27.4,17.3,0.484,0.528,0.407,0.822,22.6,2.6,0.577,,0.272,0.275,,6.9
Willie Burton,Minnesota,1990,9,SF,118,28.4,10.7,0.511,0.538,0.378,0.749,15.3,8.85,0.586,0.543,0.172,0.45,,12
Rumeal Robinson,Michigan,1990,10,PG,100,29.9,9.8,0.528,0.56,0.411,0.666,14.5,10.46,0.597,0.572,0.212,0.51,,5.6
Tyrone Hill,Xavier,1990,11,PF,126,30.9,10.3,0.579,0.58,0,0.692,15.9,0.5,0.61,0.579,0.002,0.555,,5.3
Alec Kessler,Georgia,1990,12,C,123,28.1,10,0.499,0.502,0.417,0.763,14.5,6.9,0.57,0.505,0.029,0.587,,6.2
Loy Vaught,Michigan,1990,13,PF,134,22,7.5,0.617,0.619,0.333,0.752,10.8,10.03,0.639,0.618,0.006,0.286,,5.5
Travis Mays,Texas,1990,14,PG,124,35,13.8,0.442,0.488,0.37,0.746,18.4,3.72,0.558,0.514,0.387,0.404,,14.3
Dave Jamerson,Ohio,1990,15,SG,115,32.4,15.4,0.488,0.503,0.419,0.846,20.3,-0.79,0.591,,0.322,0.246,,3.1
Terry Mills,Michigan,1990,16,PF,102,27.9,10.4,0.562,0.564,0,0.755,13.8,10.46,0.587,0.562,0.004,0.26,,5.7
Jerrod Mustaf,Maryland,1990,17,PF,59,32.1,12.7,0.525,0.532,0.389,0.756,16.6,7.74,0.569,0.535,0.048,0.318,,4.3
Duane Causwell,Temple,1990,18,C,75,25.3,5.5,0.504,0.505,0,0.624,7.2,3,0.533,0.504,0.002,0.499,,6.9
Dee Brown,Jacksonville,1990,19,PG,108,29,11.3,0.482,0.51,0.366,0.763,13.9,1.43,0.549,0.517,0.196,0.263,,8.7
Gerald Glass,Ole Miss,1990,20,SF,60,36.3,19.9,0.511,0.544,0.377,0.736,26.1,6.23,0.576,0.548,0.194,0.293,,6.9
Jayson Williams,St. John's (NY),1990,21,PF,72,28.8,10.3,0.55,0.551,0.25,0.652,14.9,8.17,0.578,0.551,0.005,0.527,,3.5
Tate George,UConn,1990,22,PG,128,31.5,7.7,0.448,0.465,0.322,0.773,9.7,6.27,0.525,0.467,0.116,0.424,,3.4
Anthony Bonner,Saint Louis,1990,23,PF,133,32.5,10.8,0.539,0.541,0.333,0.634,14.8,0.52,0.564,0.541,0.008,0.461,,7.4
Dwayne Schintzius,Florida,1990,24,C,110,31.6,12.8,0.494,0.499,0.158,0.729,14.8,8.63,0.521,0.495,0.014,0.225,,3.8
Alaa Abdelnaby,Duke,1990,25,PF,134,14.8,5.6,0.599,0.599,0,0.728,8.5,8.14,0.628,0.599,0,0.443,,3.1
