Player,School,Year,Pick,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Zion Williamson,Duke,2019,1,PF,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.97,40.8,0.702,0.708,0.163,0.467,663,12.7,18,15.5,14.9,3.9,5.8,12.8,28.6,5.5,2.8,8.3,0.335,12.8,7.2,20
Ja Morant,Murray St.,2019,2,PG,65,65,35.3,6.1,12.6,0.485,4.8,8.9,0.545,1.3,3.8,0.343,5.1,6.3,0.81,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,-3.32,26.7,0.597,0.536,0.298,0.501,1416,5,14,9.8,43,2.2,1.8,19.7,27.2,9.4,4.3,13.7,0.239,5.9,1.9,7.8
RJ Barrett,Duke,2019,3,SG,38,38,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.97,23.3,0.532,0.506,0.338,0.319,834,4.8,17.2,11.2,23.5,1.4,1.2,13.2,32.2,3.8,2.7,6.5,0.194,5.3,2.4,7.7
DeAndre Hunter,Virginia,2019,4,SF/PF,71,38,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,0.419,2.8,3.6,0.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,9.61,24,0.606,0.564,0.264,0.42,831,6.3,14,10.3,12.6,1.4,2.5,10.2,24.7,6.8,4.2,11,0.234,6.4,3.9,10.2
Darius Garland,Vanderbilt,2019,5,PG,5,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,1.4,16.2,7.79,23.6,0.657,0.639,0.426,0.296,71,1.6,13.7,7.7,25.7,1.7,1.5,19.6,27.9,0.4,0.1,0.5,0.148,5.1,-0.1,5
Jarrett Culver,Texas Tech,2019,6,SG,75,58,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2,14.9,9.56,22.4,0.548,0.518,0.351,0.363,1102,5.3,16.8,11.3,20.6,2.6,2.7,13.6,27.8,5.3,5.8,11,0.199,4.7,5.4,10.2
Coby White,North Carolina,2019,7,PG,35,35,28.5,5.4,12.7,0.423,3,6.1,0.5,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,19.2,0.556,0.516,0.523,0.293,538,1.3,11.3,6.4,24.4,2,1.3,15.5,26.8,2.4,1.7,4.1,0.165,5.8,2.3,8.1
Jaxson Hayes,Texas,2019,8,C,32,21,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0,0,0,2.3,3.1,0.74,1.8,3.3,5,0.3,0.6,2.2,0.9,3.3,10,11.46,27,0.739,0.728,0,0.592,280,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,2.8,1.5,4.3,0.23,4.8,7.3,12.1
Rui Hachimura,Gonzaga,2019,9,SF/PF,102,39,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,3.91,27,0.629,0.594,0.095,0.474,1095,6.8,17.4,12.6,7.4,1.7,2.6,10.9,26.9,7.8,4.6,12.4,0.246,3.8,2.4,6.1
Cameron Reddish,Duke,2019,10,SF,36,35,29.7,4.3,12,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,11.97,13.6,0.499,0.459,0.618,0.264,447,2,10.7,6.5,10.7,2.9,1.9,16.5,25.3,0.8,2.2,3,0.113,2,2.7,4.7
Cameron Johnson,UNC,2019,11,SF,135,90,25.4,3.8,8.4,0.457,1.9,3.6,0.523,1.9,4.7,0.405,1.7,2,0.817,1.1,3,4.1,1.8,0.8,0.3,1,1.8,11.2,10.06,19.3,0.601,0.571,0.565,0.242,1382,4.8,12.5,8.7,13,1.7,1.1,9.9,19.6,9.9,4,13.9,0.162,6.7,1.6,8.4
PJ Washington,Kentucky,2019,12,PF,72,63,28.3,4.5,8.7,0.521,4,7.3,0.547,0.5,1.4,0.384,3.4,5.4,0.632,2.1,4.5,6.6,1.7,0.8,1,1.9,2.6,12.9,10.51,21.9,0.577,0.551,0.159,0.619,908,9,17.4,13.5,11.8,1.6,4.2,14.8,23.3,5.3,3.8,9.1,0.179,4.4,4.8,9.2
Tyler Herro,Kentucky,2019,13,SG,37,37,32.6,5,10.9,0.462,3.4,6.3,0.538,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14,10.29,19.4,0.58,0.536,0.419,0.231,479,1.6,13.9,8.2,15,2,1.1,11.8,21.4,3.3,2.1,5.4,0.181,5.6,3.3,8.9
Romeo Langford,Indiana,2019,14,SG,32,32,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4,5.4,2.3,0.8,0.8,2.1,1.9,16.5,10.1,19.9,0.542,0.491,0.316,0.491,508,4.8,12.8,8.9,14.2,1.3,2.7,12.2,26.1,2.4,1.6,4,0.148,3.7,2.2,5.9
