Player,School,Year,Pick,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Derrick Coleman,Syracuse,1990,1,143,139,32.8,5.4,9.5,0.568,5.3,9.1,0.58,0.1,0.4,0.291,4.1,6,0.684,,,10.7,2.3,1.3,2.2,2.3,3,15,8.71,,0.608,0.574,0.041,0.633,,,,,,,,15.4,,,,,,,,
Gary Payton,Oregon State,1990,2,120,89,37.7,6.9,14.3,0.485,5.4,10.2,0.53,1.5,4,0.369,2.8,4.1,0.684,,,4,7.8,2.7,0.5,3.3,3.5,18.1,6.72,,0.559,0.537,0.282,0.287,,,,,,,,16.9,,,,,,,,
Mahmoud Abdul-Rauf,LSU,1990,3,64,,37.2,10.4,21.9,0.474,7.7,14.7,0.524,2.7,7.2,0.372,5.5,6.4,0.863,,,3,3.6,1.7,0.1,3.6,2.1,29,7.02,,0.581,0.535,0.33,0.293,,,,,,,,12.6,,,,,,,,
Dennis Scott,Georgia Tech,1990,4,99,98,37.2,7.5,16.6,0.452,4,8.2,0.483,3.5,8.4,0.422,2.8,3.6,0.777,,,5.3,2.9,1.5,0.5,2.3,2.1,21.4,8.65,,0.583,0.559,0.505,0.216,,,,,,,,11.1,,,,,,,,
Kendall Gill,Illinois,1990,5,117,70,25.4,4.5,8.9,0.501,3.8,7,0.535,0.7,1.9,0.374,2.4,3.2,0.755,,,2.8,3,1.9,0.3,1.8,1.7,12,10.2,,0.578,0.541,0.21,0.36,,,,,,,,14.8,,,,,,,,
Felton Spencer,Louisville,1990,6,134,40,18.4,3.1,4.9,0.628,3.1,4.9,0.628,0,0,0,2.6,3.9,0.676,,,5.2,0.7,0.4,1,1.5,2.9,8.7,8.33,,0.651,0.628,0,0.796,,,,,,,,18.4,,,,,,,,
Lionel Simmons,La Salle,1990,7,131,99,38.5,9.5,18.9,0.501,9.1,17.9,0.506,0.4,1,0.415,5.1,7.1,0.722,,,10.9,2.7,1.8,1.9,2.9,2.2,24.6,-0.92,,0.55,0.512,0.054,0.376,,,,,,,,11.4,,,,,,,,
Bo Kimble,Loyola Marymount,1990,8,104,77,27.4,8.4,17.3,0.484,7,13.3,0.528,2.6,6.4,0.407,3.9,4.8,0.822,,,4.9,1.7,1.8,0.4,1.9,2.8,22.6,2.6,,0.577,,0.272,0.275,,,,,,,,8.8,,,,,,,,
Willie Burton,Minnesota,1990,9,118,99,28.4,5.5,10.7,0.511,4.8,8.9,0.538,0.7,1.8,0.378,3.6,4.8,0.749,,,6,1.7,0.9,0.7,2.4,3,15.3,8.85,,0.586,0.543,0.172,0.45,,,,,,,,15.5,,,,,,,,
Rumeal Robinson,Michigan,1990,10,100,98,29.9,5.2,9.8,0.528,4.3,7.7,0.56,0.9,2.1,0.411,3.3,5,0.666,,,3.2,5.8,1.5,0.3,3.3,2.9,14.5,10.46,,0.597,0.572,0.212,0.51,,,,,,,,21.5,,,,,,,,
Tyrone Hill,Xavier,1990,11,126,92,30.9,6,10.3,0.579,6,10.3,0.58,0,0,0,4,5.7,0.692,,,10.9,1,0.8,0.5,2.7,3.3,15.9,0.5,,0.61,0.579,0.002,0.555,,,,,,,,17.2,,,,,,,,
Alec Kessler,Georgia,1990,12,123,0,28.1,5,10,0.499,4.9,9.7,0.502,0.1,0.3,0.417,4.5,5.9,0.763,,,7.3,0.9,0.6,0.4,2.2,2.7,14.5,6.9,,0.57,0.505,0.029,0.587,,,,,,,,14.6,,,,,,,,
Loy Vaught,Michigan,1990,13,134,73,22,4.6,7.5,0.617,4.6,7.4,0.619,0,0,0.333,1.6,2.1,0.752,,,7.4,0.7,0.5,0.6,1.3,2.7,10.8,10.03,,0.639,0.618,0.006,0.286,,,,,,,,13.6,,,,,,,,
Travis Mays,Texas,1990,14,124,26,35,6.1,13.8,0.442,4.1,8.5,0.488,2,5.4,0.37,4.2,5.6,0.746,,,4.8,2.3,1.3,0.2,3,2.9,18.4,3.72,,0.558,0.514,0.387,0.404,,,,,,,,15.4,,,,,,,,
Larry Johnson,UNLV,1991,1,75,,31.6,8.2,12.7,0.643,7.8,11.5,0.672,0.4,1.1,0.349,4.8,6.1,0.789,,,11.2,2.5,1.9,1.2,2.5,2.8,21.6,6.88,,0.691,0.659,0.09,0.483,,,,,,,,13.8,,,,,,,,
Kenny Anderson,Georgia Tech,1991,2,65,64,38.3,8.6,18.2,0.473,6.9,13.6,0.507,1.7,4.6,0.374,4,5.1,0.787,,,5.6,7,2.6,0.1,3.9,2.1,23,10.57,,0.557,0.521,0.255,0.281,,,,,,,,15.8,,,,,,,,
Billy Owens,Syracuse,1991,3,103,103,35.1,6.9,13.6,0.505,6.4,12.1,0.527,0.5,1.5,0.325,3.7,5.4,0.682,,,8.8,3.7,2.1,0.9,2.6,2.9,17.9,8.79,,0.553,0.523,0.11,0.396,,,,,,,,13.9,,,,,,,,
Dikembe Mutombo,Georgetown,1991,4,96,24,23.6,3.7,5.7,0.644,3.7,5.7,0.644,0,0,0,2.5,3.9,0.641,,,8.6,0.8,0.4,3.7,1.7,2.4,9.9,11.27,,0.651,0.644,0,0.693,,,,,,,,18.5,,,,,,,,
Steve Smith,Michigan State,1991,5,122,55,34.4,6.8,13.9,0.487,5.6,11,0.506,1.2,2.9,0.416,3.8,5,0.756,,,6.1,3.7,0.9,0.3,3.1,2.6,18.5,9.63,,0.57,0.531,0.208,0.362,,,,,,,,16.2,,,,,,,,
Doug Smith,Missouri,1991,6,128,83,29.4,7,13.7,0.51,7,13.6,0.515,0,0.2,0.174,3,4,0.747,,,8.2,2.5,1.4,1,2.6,3.3,17.1,9.82,,0.545,0.511,0.013,0.294,,,,,,,,14.3,,,,,,,,
Luc Longley,New Mexico,1991,7,132,,27.6,5.3,9,0.586,5.3,9,0.587,0,0,0,2.9,3.9,0.735,,,6.9,2.4,0.7,2.5,2.6,2.2,13.4,4.52,,0.618,0.586,0.002,0.432,,,,,,,,19.3,,,,,,,,
Mark Macon,Temple,1991,8,126,64,37.5,7.8,18.4,0.423,5.8,13.2,0.442,2,5.2,0.374,3.2,4.1,0.779,,,5.6,2.8,2.2,0.1,1.8,2.3,20.7,3.84,,0.509,0.476,0.283,0.223,,,,,,,,8.1,,,,,,,,
Stacey Augmon,UNLV,1991,9,145,36,29.5,5.2,9.4,0.555,4.6,7.8,0.583,0.7,1.6,0.42,2.8,4.1,0.677,,,6.9,3,1.9,0.9,2.2,2.6,13.9,6.52,,0.611,0.591,0.169,0.433,,,,,,,,15.9,,,,,,,,
Terrell Brandon,Oregon,1991,10,57,28,38.2,8.1,16.8,0.484,6.7,13.1,0.513,1.4,3.7,0.38,4.5,5.5,0.81,,,3.6,5.5,2,0.1,3.6,2.1,22.2,9.29,,0.57,0.526,0.223,0.33,,,,,,,,15.5,,,,,,,,
Greg Anthony,UNLV,1991,11,138,61,30.5,4.3,9.7,0.437,3,6.5,0.467,1.2,3.3,0.379,2.8,4,0.707,,,3.1,6.9,2.4,0.3,2.7,2.5,12.6,5.54,,0.541,,0.338,0.407,,,,,,,,18.6,,,,,,,,
Dale Davis,Clemson,1991,12,121,97,28.9,5.2,8.9,0.588,5.2,8.9,0.59,0,0,0,3.2,5.4,0.59,,,10,0.7,0.9,1.7,1.6,2.9,13.6,7.46,,0.596,0.588,0.003,0.605,,,,,,,,12,,,,,,,,
Rich King,Nebraska,1991,13,124,75,23.6,4.5,8.1,0.564,4.5,8,0.565,0,0,0.4,2.8,4.1,0.676,,,6.1,1.8,0.5,1.5,2.2,2.9,11.9,7.95,,0.594,0.565,0.005,0.51,,,,13.5,13.5,,4.4,18,24.4,,,,,,,
